articleId,articleTitle,courseId,stageId
gjfd55acy,"ディープインパクト産駒の特徴と狙い方【完全版】",blood_basics,1
z1udg_03jxi,"キタサンブラック産駒を馬券で狙うための5つの条件",blood_basics,2
7xc_a9_i8y2,"ロードカナロア産駒の距離適性を徹底分析",blood_basics,3
sy1u4c-e8h,"エピファネイア産駒が走る条件｜大物続出の血統力",blood_basics,4
xedf_j1m05x,"ドゥラメンテ産駒の買い時・消し時を見極める",blood_basics,5
blood-w5-01-9fbcd8ab,"キズナ産駒の特徴｜ディープ後継の実力",blood_basics,6
blood-w5-02-67e67cb4,"モーリス産駒の特徴｜非サンデー系の注目株",blood_basics,7
blood-w5-03-353de66a,"オルフェーヴル産駒の特徴と気性の扱い方",blood_basics,8
blood-w5-04-ad56b58e,"2歳新馬戦で血統が重要な理由と活用法",blood_basics,9
blood-w5-05-ab15b903,"血統予想は本当に当たるのか？データで検証",blood_sire,1
blood-w5-06-99575bca,"2025年版リーディングサイアーランキング解説",blood_sire,2
blood-w5-07-ff6d5a80,"血統と距離適性の関係を徹底解説",blood_sire,3
blood-w5-08-290e8ff0,"重馬場に強い血統まとめ｜雨の日に狙える種牡馬",blood_sire,4
blood-w6-01-188c0771,"スワーヴリチャード産駒の特徴｜次世代種牡馬の実力",blood_sire,5
blood-w6-02-eea98919,"インブリードとアウトブリードの違い｜奇跡と危険の配合論",blood_sire,6
blood-w6-03-112b6a3f,"競馬の三大始祖とは？すべてはこの3頭から始まった",blood_sire,7
blood-w6-04-f8eb346e,"ステイゴールド系の特徴｜根性の血を受け継ぐ馬たち",blood_sire,8
blood-w6-05-d6748e17,"ゴールドアリュール産駒の特徴｜ダート界の支配者",blood_sire,9
blood-w6-06-d97728c9,"牝系（ファミリーライン）の重要性",blood_broodmare,1
blood-w6-07-a4d9ed0d,"ルーラーシップ産駒の特徴と買い条件",blood_broodmare,2
blood-w6-08-139d81e4,"ダイワメジャー産駒の特徴｜マイル王の遺伝力",blood_broodmare,3
blood-w6-32-493da2d7,"ヘニーヒューズ産駒の特徴と地方競馬での活躍",blood_broodmare,4
blood-w6-33-bbb3459d,"血統を調べるおすすめアプリ・サイト5選",blood_broodmare,5
blood-w6-34-a95802f7,"サトノダイヤモンドの種牡馬成績と産駒傾向",blood_broodmare,6
blood-w6-35-6fd60b42,"ロベルト系の特徴｜日本で独自進化した血統",blood_broodmare,7
blood-w6-36-6ff1abaf,"2歳リーディングサイアーから読む種牡馬トレンド",blood_broodmare,8
blood-w6-37-f7a9b0fc,"海外種牡馬の日本での活躍｜ハービンジャーからフランケルまで",blood_broodmare,9
blood-w6-38-167c0e33,"競馬の血統を学ぶおすすめ本7選",blood_advanced,1
blood-w6-39-999683a8,"ドウデュース種牡馬入り｜ハーツクライ系の新星",blood_advanced,2
blood-w6-40-948df90f,"2025年新種牡馬の注目ポイント",blood_advanced,3
blood-w6-41-1c2a6423,"クロス（近親交配）の効果と影響を解説",blood_advanced,4
blood-w6-42-522370ef,"長距離戦（2400m以上）の特徴と必要な要素",blood_advanced,5
blood-w6-43-a467c089,"ダート1800m戦の特徴と狙い方",blood_advanced,6
blood-w6-44-51b11594,"障害レースの基礎知識｜初心者でもわかる特殊なレース",blood_advanced,7
blood-w6-45-14926841,"ローカル開催の特徴と穴馬の見つけ方",blood_advanced,8
sy25csrd6,"東京芝2400m完全攻略ガイド｜ダービーはこう狙え",course_tokyo,1
yqnbxr1qd1,"中山芝2500m｜有馬記念のコース傾向と好走条件",course_tokyo,2
fzm9i5ie1v2,"阪神芝1600m外回り｜マイルCSの攻略データ",course_tokyo,3
course-w5-09-1237ef37,"京都競馬場のコース特徴｜名コースの攻略法",course_tokyo,4
course-w5-10-0e0260a6,"中京競馬場のコース特徴と注目ポイント",course_nakayama,1
course-w5-11-b51f485d,"新潟競馬場の特徴｜日本一長い直線を攻略",course_nakayama,2
course-w5-12-b7b3fb42,"重馬場・不良馬場の予想法｜雨の日こそチャンス",course_nakayama,3
course-w5-13-147888c7,"開幕週と最終週で馬場はこう変わる",course_nakayama,4
course-w5-14-0f78f222,"コース替わりで激走する馬の見つけ方",course_kyoto,1
course-w5-15-12c3cc43,"1200m戦の特徴とスプリントの奥深さ",course_kyoto,2
course-w5-16-4034e3c0,"トラックバイアスとは？馬場の偏りを味方にする方法",course_kyoto,3
course-w6-09-7078329c,"小倉競馬場の特徴と夏競馬の傾向",course_kyoto,4
course-w6-10-b6a8632c,"札幌競馬場の洋芝が生む独特の適性",course_hanshin,1
course-w6-11-0a202cd0,"函館競馬場の特徴と開幕週の狙い方",course_hanshin,2
course-w6-12-921e989c,"福島競馬場の特徴｜小回りが生む波乱",course_hanshin,3
course-w6-13-cf9e662a,"マイル（1600m）戦の特徴と攻略のコツ",course_hanshin,4
course-w6-14-85f78764,"2000m戦の特徴｜クラシックディスタンスを知る",course_local,1
course-w6-15-a7aee747,"A/B/Cコースとは？仮柵移動の意味と予想への活かし方",course_local,2
5kbddqy-ta0p,"C.ルメール騎手の買い条件と消し条件をデータで分析",jockey_basics,1
5k_tw5_lib,"川田将雅の騎乗スタイル｜なぜ先行馬で強いのか",jockey_basics,2
39e5khadj,"武豊が光る条件｜ベテランの技が活きるレースパターン",jockey_basics,3
jockey-w5-25-3f75bdea,"戸崎圭太騎手の特徴と狙い条件",jockey_basics,4
jockey-w5-26-d0cbbafd,"M.デムーロ騎手の特徴｜G1ハンターの実力",jockey_data,1
jockey-w5-27-be6f37be,"騎手のコース別得意・不得意を知る",jockey_data,2
jockey-w5-28-b9e5a1c7,"外国人騎手の短期免許と競馬への影響",jockey_data,3
jockey-w5-29-37b1594c,"斤量が競走馬に与える影響はどのくらい？",jockey_data,4
jockey-w5-30-17da0afe,"矢作芳人厩舎の特徴と管理馬の傾向",jockey_strategy,1
jockey-w6-23-bcdc987a,"池添謙一騎手の特徴と穴パターン",jockey_strategy,2
jockey-w6-24-8d754844,"騎手と調教師の相性｜黄金コンビを見つける",jockey_strategy,3
jockey-w6-25-8314af68,"斤量が競走馬に与える影響はどのくらい？",jockey_strategy,4
bnmpa9l5mzs3,"差し馬の見極め方｜展開予想の基本を徹底解説",ticket_basics,1
cewzim_yo,"パドックの見方入門｜初心者が見るべき5つのポイント",ticket_basics,2
vddxri4xlw,"オッズの歪みを見抜く方法｜期待値で馬券を考える",ticket_basics,3
prediction-w5-17-bbb12a0e,"ワイド馬券のメリットと上手な使い方",ticket_basics,4
prediction-w5-18-8a6045a9,"回収率を上げるための5つのコツ",ticket_basics,5
prediction-w5-19-1af2d2a3,"競馬の期待値とは？プラス収支の考え方",ticket_basics,6
prediction-w5-20-b2b2616b,"軸馬の選び方｜安定した予想の土台を作る",ticket_basics,7
prediction-w5-21-a6e7c1d3,"穴馬の見つけ方｜高配当を狙うための着眼点",ticket_basics,8
prediction-w5-22-719751e8,"競馬の資金管理術｜破産しないための鉄則",ticket_basics,9
prediction-w5-23-72c912c4,"展開予想のやり方｜レースの流れを読む技術",ticket_basics,10
general-w7-54-5b9ff750,"騎手のペース判断｜レースの流れを作る技術",ticket_types,1
general-w7-55-c9c0685d,"新人騎手の注目ポイント｜明日のスター候補を探す",ticket_types,2
general-w7-56-3f5c3585,"女性騎手の活躍と注目ライダー",ticket_types,3
general-w7-57-37588e10,"障害レース専門騎手の技術｜知られざる職人技",ticket_types,4
general-w7-58-9ccc121e,"海外遠征時の騎手選びが結果に与える影響",ticket_types,5
general-w7-59-247f9768,"国枝栄厩舎の特徴と管理馬の傾向",ticket_types,6
general-w7-60-592c7000,"木村哲也厩舎の急成長と注目ポイント",ticket_types,7
general-w7-61-80bb4f9e,"中内田充正厩舎のG1戦略",ticket_types,8
general-w7-62-eb31c79e,"手塚貴久厩舎の特徴と管理馬パターン",ticket_types,9
general-w7-63-9515b614,"友道康夫厩舎の王道路線",ticket_types,10
general-w7-125-9b9169f5,"最強スプリンターランキング｜歴代短距離王",ticket_odds,1
general-w7-126-9a831385,"最強ステイヤーランキング｜歴代長距離王",ticket_odds,2
general-w7-127-c3c41e1c,"最強ダート馬ランキング｜砂の王者たち",ticket_odds,3
general-w7-128-07f80dc1,"競馬の殿堂入り馬と騎手一覧",ticket_odds,4
general-w7-129-8b197243,"種牡馬として成功した名馬・失敗した名馬",ticket_odds,5
general-w7-130-5b0a147d,"親子三代で活躍した血統ストーリー",ticket_odds,6
general-w7-131-ada8a90d,"ノーザンファームの強さの秘密｜日本競馬の最強生産者",ticket_odds,7
general-w7-132-25e5d97d,"社台グループの歴史と日本競馬への影響",ticket_odds,8
general-w7-133-dd8a01d3,"牧場見学のすすめ｜引退馬に会いに行こう",ticket_odds,9
general-w7-134-c1d3bf4f,"セリ（競走馬のオークション）の仕組みと見方",ticket_odds,10
general-w7-196-f0be1f90,"ベッティングシステム入門｜マーチンゲール法の罠",ticket_strategy,1
general-w7-197-160da0e4,"レーティングの仕組みと予想への活用",ticket_strategy,2
general-w7-198-535a8410,"スピード指数とは？数値で馬の能力を測る",ticket_strategy,3
general-w7-199-7d57fa1a,"タイム理論入門｜馬場差補正の考え方",ticket_strategy,4
general-w7-200-f71d733e,"ペース理論入門｜ハイペースとスローペースの判定法",ticket_strategy,5
general-w7-201-5e6aebad,"複勝で月間プラスを目指す戦略",ticket_strategy,6
general-w7-202-c4c60c0e,"ワイドで安定収支を作る方法",ticket_strategy,7
general-w7-203-0174502d,"馬連流しの効率的な組み方",ticket_strategy,8
general-w7-204-a820782e,"三連複フォーメーションのテンプレート5選",ticket_strategy,9
general-w7-205-4c322bfc,"WIN5の戦略的な買い方｜少点数で当てるコツ",ticket_strategy,10
general-w7-267-63c75116,"人気別的中率・回収率の統計データ",ticket_advanced,1
general-w7-268-c401102d,"前走着順別の次走成績データ",ticket_advanced,2
general-w7-269-1c442e95,"休み明け（間隔別）の成績データ分析",ticket_advanced,3
general-w7-270-926953f1,"年齢別の成績傾向データ",ticket_advanced,4
general-w7-271-c16b4673,"斤量増減による成績変動データ",ticket_advanced,5
general-w7-272-68008110,"クラス別（条件別）の傾向データ",ticket_advanced,6
general-w7-273-c9c13d3b,"季節別の傾向データ｜月ごとのトレンド",ticket_advanced,7
general-w7-274-92a37b5c,"過去10年のG1傾向データまとめ",ticket_advanced,8
general-w7-275-dfd05bcd,"ダート成績のデータ分析｜勝ち組血統",ticket_advanced,9
general-w7-276-62e2b00c,"2歳戦の傾向データ｜早期デビュー馬の成績",ticket_advanced,10
appphvvhmm,"ディープインパクト — 飛ぶように走った衝撃の名馬",history_classics,1
xyyma2qig,"オルフェーヴル — 暴れん坊の天才が見せた光と影",history_classics,2
legend-w5-31-cd50d3f3,"シンボリルドルフ｜日本初の無敗三冠馬",history_champions,1
legend-w5-32-513d2ea7,"日本ダービー歴代勝ち馬とレースの歴史",history_champions,2
legend-w5-33-cf97d110,"ナリタブライアンの三冠｜怪物と呼ばれた馬",history_records,1
legend-w5-34-41351a33,"テイエムオペラオーのグランドスラム｜2000年の覇者",history_records,2
legend-w6-26-ca16ef15,"日本ダービー歴代勝ち馬とレースの歴史",history_modern,1
legend-w6-27-c807d937,"天皇賞の歴史と名勝負",history_modern,2
xkpno96tiu65,"矢作芳人厩舎の特徴｜G1量産の秘密",training_basics,1
df8eii5i90k7,"調教パターンでレース結果を予測する方法",training_analysis,1
uma-musume-w5-35-322e1e9e,"スペシャルウィークの実際の戦績と伝説",umamusume_intro,1
uma-musume-w5-36-ea9fd0f4,"トウカイテイオーの復活劇｜奇跡の有馬記念",umamusume_intro,2
uma-musume-w5-37-beaaab92,"ゴールドシップの破天荒エピソード集",umamusume_intro,3
uma-musume-w6-46-b979b82f,"ウマ娘キャラの元ネタ馬 完全対応表【2025年版】",umamusume_intro,4
uma-musume-w6-47-c11dc03d,"ナイスネイチャの実像｜善戦マンの愛されキャラ",umamusume_real,1
uma-musume-w6-48-2f9fb5d1,"マチカネフクキタルの激走｜菊花賞の奇跡",umamusume_real,2
uma-musume-w6-49-bf7dc85a,"ウマ娘で描かれた実在のライバル関係5選",umamusume_real,3
uma-musume-w6-50-cde371bd,"テイエムオペラオーの無敵のシーズン",umamusume_real,4
uma-musume-w6-51-fdc77e9b,"ウマ娘ファンにおすすめの競馬映画・ドキュメンタリー",umamusume_advanced,1
uma-musume-w6-52-ab44be4f,"ウマ娘キャラの血統関係をリアルで紐解く",umamusume_advanced,2
uma-musume-w6-53-9dc94a64,"ウマ娘に登場するG1レースをリアルで見る方法",umamusume_advanced,3
beginner-w5-38-b84eb95b,"競馬のテレビ中継の見方｜番組と楽しみ方ガイド",beginner_first,1
beginner-w5-39-f011b84d,"馬券だけじゃない！競馬の楽しみ方5選",beginner_first,2
beginner-w5-40-85dcec71,"初心者におすすめのレースの選び方",beginner_first,3
beginner-w6-28-5638bd49,"競馬の1日の流れ｜レース開催のスケジュール",beginner_watching,1
beginner-w6-29-c0584070,"競馬の払戻金と税金｜確定申告は必要？",beginner_watching,2
beginner-w6-30-1cbb7f34,"競馬場デートのすすめ｜カップルで楽しむポイント",beginner_watching,3
beginner-w6-31-54676853,"女性向け競馬入門｜初めてでも楽しめるポイント",beginner_betting,1